ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-27T15:49:13+00:00,254,0,254,0,254,0,254,0
2020-10-27T15:51:48+00:00,5,0,254,0,254,0,254,0
2020-10-27T15:52:11+00:00,7,0,254,0,254,0,254,0
2020-10-27T15:53:38+00:00,64,0,254,0,254,0,254,0
2020-10-27T15:53:59+00:00,64,0,6,6,254,0,254,0
2020-10-27T15:54:05+00:00,64,0,4,6,254,0,254,0
2020-10-27T15:54:08+00:00,8,0,4,6,254,0,254,0
2020-10-27T15:54:21+00:00,8,0,254,0,254,0,254,0
2020-10-27T15:55:39+00:00,8,0,200,0,254,0,254,0
2020-10-27T15:55:55+00:00,8,0,254,0,254,0,254,0
2020-10-27T15:56:25+00:00,64,0,254,0,254,0,254,0
2020-10-27T15:57:12+00:00,11,0,254,0,254,0,254,0
2020-10-27T15:58:57+00:00,64,0,254,0,254,0,254,0
2020-10-27T15:59:00+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:00:23+00:00,9,0,254,0,254,0,254,0
2020-10-27T16:00:33+00:00,7,0,254,0,254,0,254,0
2020-10-27T16:00:36+00:00,5,0,254,0,254,0,254,0
2020-10-27T16:01:01+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:02:03+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:02:09+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:04:41+00:00,11,0,7,6,254,0,254,0
2020-10-27T16:04:57+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:05:15+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:05:17+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:06:19+00:00,11,0,7,6,254,0,254,0
2020-10-27T16:06:35+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:07:17+00:00,9,0,254,0,254,0,254,0
2020-10-27T16:07:44+00:00,9,0,200,0,254,0,254,0
2020-10-27T16:07:59+00:00,9,0,254,0,254,0,254,0
2020-10-27T16:08:02+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:08:05+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:12:54+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:12:56+00:00,11,0,254,0,254,0,254,0
2020-10-27T16:18:11+00:00,5,0,254,0,254,0,254,0
2020-10-27T16:18:21+00:00,3,0,254,0,254,0,254,0
2020-10-27T16:19:05+00:00,5,0,254,0,254,0,254,0
2020-10-27T16:19:22+00:00,172,0,254,0,254,0,254,0
2020-10-27T16:19:35+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:20:25+00:00,6,0,254,0,254,0,254,0
2020-10-27T16:20:29+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:20:47+00:00,4,0,201,0,254,0,254,0
2020-10-27T16:21:03+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:21:07+00:00,4,0,200,0,254,0,254,0
2020-10-27T16:21:23+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:21:34+00:00,4,0,200,0,254,0,254,0
2020-10-27T16:21:50+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:21:58+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:23:11+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:24:35+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:36:41+00:00,254,0,201,0,254,0,254,0
2020-10-27T16:36:57+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:37:46+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:38:01+00:00,254,0,201,0,254,0,254,0
2020-10-27T16:38:16+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:38:25+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:38:30+00:00,254,0,201,0,254,0,254,0
2020-10-27T16:38:42+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:38:58+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:40:22+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:40:38+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:41:38+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:41:44+00:00,4,0,200,0,254,0,254,0
2020-10-27T16:41:47+00:00,2,0,200,0,254,0,254,0
2020-10-27T16:42:03+00:00,2,0,254,0,254,0,254,0
2020-10-27T16:45:51+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:46:05+00:00,6,0,200,0,254,0,254,0
2020-10-27T16:46:21+00:00,6,0,254,0,254,0,254,0
2020-10-27T16:46:22+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:46:53+00:00,64,0,201,0,254,0,254,0
2020-10-27T16:47:09+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:47:09+00:00,64,0,200,0,254,0,254,0
2020-10-27T16:47:21+00:00,20,0,200,0,254,0,254,0
2020-10-27T16:47:25+00:00,20,0,254,0,254,0,254,0
2020-10-27T16:48:15+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:48:53+00:00,64,0,200,0,254,0,254,0
2020-10-27T16:49:03+00:00,64,0,201,0,254,0,254,0
2020-10-27T16:49:19+00:00,64,0,254,0,254,0,254,0
2020-10-27T16:51:16+00:00,64,0,200,0,254,0,254,0
2020-10-27T16:51:29+00:00,64,0,201,0,254,0,254,0
2020-10-27T16:51:35+00:00,254,0,201,0,254,0,254,0
2020-10-27T16:51:49+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:52:07+00:00,254,0,200,0,254,0,254,0
2020-10-27T16:52:24+00:00,254,0,254,0,254,0,254,0
2020-10-27T16:53:18+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:53:32+00:00,4,0,201,0,254,0,254,0
2020-10-27T16:53:48+00:00,4,0,254,0,254,0,254,0
2020-10-27T16:54:05+00:00,4,0,200,0,254,0,254,0
