ts,ts_fix,lat,lon,alt,hdg,spd
2020-11-03T18:41:17.149726+00:00,2020-11-03T18:41:18.000000Z,39.2638,-9.16546,0.0,177.874,104.364
2020-11-03T18:41:18.149890+00:00,2020-11-03T18:41:18.000000Z,39.2635,-9.16543,0.0,178.416,105.235
2020-11-03T18:41:19.150886+00:00,2020-11-03T18:41:18.000000Z,39.2635,-9.16543,0.0,178.416,105.235
2020-11-03T18:41:20.151502+00:00,2020-11-03T18:41:20.000000Z,39.263,-9.16546,70.407,172.783,100.199
2020-11-03T18:41:21.151729+00:00,2020-11-03T18:41:21.000000Z,39.2627,-9.16541,69.614,175.169,100.894
2020-11-03T18:41:22.152843+00:00,2020-11-03T18:41:22.000000Z,39.2625,-9.16538,68.301,175.246,101.268
2020-11-03T18:41:23.153127+00:00,2020-11-03T18:41:23.000000Z,39.2622,-9.16535,66.669,175.072,100.728
2020-11-03T18:41:24.154139+00:00,2020-11-03T18:41:24.000000Z,39.262,-9.16531,65.566,174.896,99.9288
2020-11-03T18:41:25.154257+00:00,2020-11-03T18:41:25.000000Z,39.2618,-9.16528,64.229,174.891,100.022
2020-11-03T18:41:26.154515+00:00,2020-11-03T18:41:26.000000Z,39.2615,-9.16525,63.809,175.246,100.249
2020-11-03T18:41:27.155620+00:00,2020-11-03T18:41:27.000000Z,39.2612,-9.16523,63.964,175.728,99.9468
2020-11-03T18:41:28.157359+00:00,2020-11-03T18:41:28.000000Z,39.261,-9.16522,64.168,176.011,100.897
2020-11-03T18:41:29.157673+00:00,2020-11-03T18:41:29.000000Z,39.2607,-9.16519,63.691,175.976,100.534
2020-11-03T18:41:30.158922+00:00,2020-11-03T18:41:30.000000Z,39.2605,-9.16517,63.689,175.703,100.562
2020-11-03T18:41:31.159608+00:00,2020-11-03T18:41:31.000000Z,39.2602,-9.16516,64.511,175.208,100.483
2020-11-03T18:41:32.160805+00:00,2020-11-03T18:41:32.000000Z,39.26,-9.16515,65.281,175.698,100.735
2020-11-03T18:41:33.162015+00:00,2020-11-03T18:41:33.000000Z,39.2597,-9.16513,66.002,175.94,100.876
2020-11-03T18:41:34.162033+00:00,2020-11-03T18:41:34.000000Z,39.2595,-9.16511,65.745,175.836,100.973
2020-11-03T18:41:35.162802+00:00,2020-11-03T18:41:35.000000Z,39.2592,-9.16509,66.277,175.821,101.081
2020-11-03T18:41:36.163234+00:00,2020-11-03T18:41:36.000000Z,39.259,-9.16506,66.105,175.892,100.681
2020-11-03T18:41:37.164327+00:00,2020-11-03T18:41:37.000000Z,39.2587,-9.16504,65.972,175.569,100.642
2020-11-03T18:41:38.164797+00:00,2020-11-03T18:41:38.000000Z,39.2585,-9.16501,65.547,175.649,100.775
2020-11-03T18:41:39.165322+00:00,2020-11-03T18:41:39.000000Z,39.2582,-9.16499,65.409,175.858,100.843
2020-11-03T18:41:40.165601+00:00,2020-11-03T18:41:40.000000Z,39.258,-9.16497,64.582,175.415,100.256
2020-11-03T18:41:41.166362+00:00,2020-11-03T18:41:41.000000Z,39.2577,-9.16494,63.714,175.039,100.674
2020-11-03T18:41:42.166928+00:00,2020-11-03T18:41:42.000000Z,39.2575,-9.16492,63.13,175.452,100.75
2020-11-03T18:41:43.167408+00:00,2020-11-03T18:41:43.000000Z,39.2572,-9.16489,62.717,175.764,100.642
2020-11-03T18:41:44.167930+00:00,2020-11-03T18:41:44.000000Z,39.257,-9.16487,62.726,175.857,100.739
2020-11-03T18:41:45.169004+00:00,2020-11-03T18:41:45.000000Z,39.2567,-9.16485,62.497,175.984,100.465
2020-11-03T18:41:46.170306+00:00,2020-11-03T18:41:46.000000Z,39.2565,-9.16483,62.236,176.094,100.508
2020-11-03T18:41:47.171485+00:00,2020-11-03T18:41:47.000000Z,39.2562,-9.1648,62.239,176.113,100.638
2020-11-03T18:41:48.172265+00:00,2020-11-03T18:41:48.000000Z,39.256,-9.16478,62.143,176.508,100.544
2020-11-03T18:41:49.173398+00:00,2020-11-03T18:41:49.000000Z,39.2557,-9.16477,62.131,177.71,100.523
2020-11-03T18:41:50.173481+00:00,2020-11-03T18:41:50.000000Z,39.2555,-9.16476,61.925,179.526,99.0828
2020-11-03T18:41:51.174337+00:00,2020-11-03T18:41:51.000000Z,39.2552,-9.16477,61.494,181.56,99.6876
2020-11-03T18:41:52.174893+00:00,2020-11-03T18:41:52.000000Z,39.255,-9.16478,61.783,182.66,103.378
2020-11-03T18:41:53.175960+00:00,2020-11-03T18:41:53.000000Z,39.2547,-9.1648,61.656,183.721,102.78
2020-11-03T18:41:54.176374+00:00,2020-11-03T18:41:54.000000Z,39.2545,-9.16483,61.592,185.628,101.52
2020-11-03T18:41:55.176806+00:00,2020-11-03T18:41:55.000000Z,39.2542,-9.16487,61.599,188.124,100.908
2020-11-03T18:41:56.177542+00:00,2020-11-03T18:41:56.000000Z,39.2539,-9.16492,61.566,190.561,101.246
2020-11-03T18:41:57.179366+00:00,2020-11-03T18:41:57.000000Z,39.2537,-9.16498,60.253,192.603,99.9612
2020-11-03T18:41:58.180275+00:00,2020-11-03T18:41:58.000000Z,39.2534,-9.16506,60.044,193.835,101.102
2020-11-03T18:41:59.181533+00:00,2020-11-03T18:41:59.000000Z,39.2532,-9.16513,58.992,194.637,100.667
2020-11-03T18:42:00.181470+00:00,2020-11-03T18:42:00.000000Z,39.253,-9.16521,59.295,195.555,100.35
2020-11-03T18:42:01.182867+00:00,2020-11-03T18:42:01.000000Z,39.2527,-9.1653,58.846,195.959,100.105
